 Countries,Refugees in thousands
Austria,8308
Belgium,5616
Bulgaria,13616
Croatia,185
Cyprus,1679
Czechia,44226
Denmark,335
Estonia,3597
Finland,4079
France,105
Germany,70915
Greece,1941
Hungary,30
Iceland,164
Ireland,5483
Italy,15761
Latvia,4091
Lichtenstein,031
Lithuania,6705
Luxembourg,656
Malta,142
Montenegro,649
Netherlands,7925
Norway,2849
Poland,142248
Portugal,5288
Romania,6706
Serbia and Kosovo,1
Slovakia,9614
Slovenia,777
Spain,14584
Sweden,4624
Switzerland,6562
UK,1342
